"","X","order","Col2","S_ID","sample.","site","month","day","microsite","rep","method","location","quantity","order.1","family","subfamily","Col16","genus","species","highest.rtu","Size..mm.","width","sex","Col23","uniID"
"103",808,3372,NA,NA,NA,"SiCr","July",23,"shrub",4,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SiCrJulyshrub4"
"104",809,3445,NA,NA,NA,"SiCr","July",23,"shrub",11,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SiCrJulyshrub11"
"105",810,331,NA,NA,NA,"CaS","Aug",5,"open",1,"PT","ET",3,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","insanus","Dorymyrmexinsanus",NA,NA,NA,NA,"CaSAugopen1"
"106",811,540,NA,NA,NA,"CaS","July",13,"open",1,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex ","insanus","Dorymyrmexinsanus",NA,NA,NA,NA,"CaSJulyopen1"
"107",812,767,NA,NA,NA,"CaS","Sept",21,"open",1,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","insanus","Dorymyrmexinsanus",NA,NA,NA,NA,"CaSSeptopen1"
"108",813,590,NA,NA,NA,"CaS","July",13,"open",3,"PT","ET",4,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex ","insanus","Dorymyrmexinsanus",NA,NA,NA,NA,"CaSJulyopen3"
"109",814,788,NA,NA,NA,"CaS","Sept",21,"open",3,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","insanus","Dorymyrmexinsanus",NA,NA,NA,NA,"CaSSeptopen3"
"110",815,611,NA,NA,NA,"CaS","July",13,"open",4,"PT","ET",3,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex ","insanus","Dorymyrmexinsanus",NA,NA,NA,NA,"CaSJulyopen4"
"111",816,800,NA,NA,NA,"CaS","Sept",21,"open",4,"PT","ET",5,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","insanus","Dorymyrmexinsanus",NA,NA,NA,NA,"CaSSeptopen4"
"112",817,426,NA,NA,NA,"CaS","Aug",5,"open",6,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","insanus","Dorymyrmexinsanus",NA,NA,NA,NA,"CaSAugopen6"
"113",818,835,NA,NA,NA,"CaS","Sept",21,"open",7,"PT","ET",5,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","insanus","Dorymyrmexinsanus",NA,NA,NA,NA,"CaSSeptopen7"
"114",819,457,NA,NA,NA,"CaS","Aug",5,"open",8,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","insanus","Dorymyrmexinsanus",NA,NA,NA,NA,"CaSAugopen8"
"115",820,844,NA,NA,NA,"CaS","Sept",21,"open",8,"PT","ET",3,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","insanus","Dorymyrmexinsanus",NA,NA,NA,NA,"CaSSeptopen8"
